iteration,n_rounds,skill_ids,skill_names,t_start,t_end
424,60,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate""]","[0, 20, 40, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99]","[20, 40, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100]"
425,60,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate""]","[0, 20, 40, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99]","[20, 40, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100]"
426,60,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate""]","[0, 20, 40, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99]","[20, 40, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100]"
427,60,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate""]","[0, 20, 40, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99]","[20, 40, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100]"
428,60,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate""]","[0, 20, 40, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99]","[20, 40, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100]"
429,60,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate""]","[0, 20, 40, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99]","[20, 40, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100]"
430,60,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate""]","[0, 20, 40, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99]","[20, 40, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100]"
431,60,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate""]","[0, 20, 40, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99]","[20, 40, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100]"
432,60,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate""]","[0, 20, 40, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99]","[20, 40, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100]"
433,60,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate""]","[0, 20, 40, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99]","[20, 40, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100]"
434,60,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate""]","[0, 20, 40, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99]","[20, 40, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100]"
435,60,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate""]","[0, 20, 40, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99]","[20, 40, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100]"
436,60,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate""]","[0, 20, 40, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99]","[20, 40, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100]"
